Id,SalePrice
1461,123830.0
1462,132270.0
1463,170943.4
1464,180500.0
1465,196930.0
1466,186400.0
1467,168164.0
1468,176970.0
1469,181300.0
1470,123525.0
1471,187285.0
1472,88680.0
1473,95090.0
1474,157815.0
1475,145690.0
1476,386289.8
1477,257992.6
1478,335081.3
1479,299260.7
1480,427625.5
1481,340112.4
1482,207000.0
1483,172717.3
1484,166377.5
1485,169790.0
1486,186000.0
1487,366187.0
1488,247072.8
1489,207908.0
1490,187420.0
1491,183916.6666666667
1492,96050.0
1493,179580.0
1494,299170.0
1495,304775.0
1496,202190.0
1497,205250.0
1498,153965.2
1499,150315.2
1500,152365.0
1501,174750.0
1502,174805.2
1503,278082.2
1504,239100.0
1505,209750.0
1506,212240.0
1507,203980.0
1508,184000.0
1509,165675.0
1510,158790.0
1511,157480.0
1512,175300.0
1513,154105.0
1514,155840.0
1515,176997.0
1516,153640.0
1517,144570.0
1518,133290.0
1519,221515.0
1520,136135.0
1521,135470.0
1522,163950.0
1523,121187.6
1524,121190.0
1525,123940.0
1526,124020.0
1527,98339.3
1528,128410.0
1529,143625.0
1530,166095.0
1531,127857.4
1532,98720.0
1533,138390.0
1534,135420.0
1535,130630.0
1536,106753.5
1537,81750.0
1538,191235.0
1539,236050.0
1540,127128.7
1541,158150.0
1542,142565.0
1543,230573.0
1544,88550.0
1545,102910.0
1546,122690.0
1547,99588.7
1548,107327.6
1549,110949.3
1550,129693.2
1551,120496.0
1552,144700.0
1553,122785.0
1554,104230.0
1555,155070.0
1556,104520.0
1557,122650.0
1558,90550.0
1559,125997.4
1560,129233.2
1561,138990.0
1562,126588.3
1563,116550.0
1564,168100.0
1565,152740.0
1566,213830.0
1567,88380.0
1568,213790.0
1569,140930.0
1570,126149.3
1571,132830.0
1572,141517.5
1573,260204.2
1574,160500.0
1575,201100.0
1576,188400.0
1577,201803.0
1578,152650.0
1579,145190.0
1580,187890.0
1581,141668.0
1582,126615.0
1583,330801.8
1584,233118.6
1585,138483.3333333333
1586,82581.1
1587,88899.3
1588,144840.0
1589,106824.3
1590,142280.0
1591,96260.0
1592,129240.0
1593,115950.0
1594,153500.0
1595,129477.4
1596,259900.0
1597,182100.0
1598,170633.1666666667
1599,205880.0
1600,198540.0
1601,67671.1
1602,111065.0
1603,100250.8
1604,263850.0
1605,252223.0
1606,168490.0
1607,236147.0
1608,212930.8
1609,188389.0
1610,165242.5
1611,153398.7
1612,177300.0
1613,179646.4
1614,131620.0
1615,81823.33333333333
1616,81823.33333333333
1617,85010.0
1618,129940.0
1619,138990.0
1620,180380.0
1621,136095.0
1622,145584.3
1623,268890.0
1624,190350.0
1625,111218.3
1626,167883.2
1627,177750.0
1628,251740.0
1629,169716.5
1630,284772.8
1631,214140.0
1632,253680.0
1633,166200.0
1634,179800.0
1635,177450.0
1636,168240.0
1637,164300.0
1638,211350.0
1639,189490.0
1640,258058.0
1641,200150.0
1642,235043.5
1643,247600.0
1644,230367.0
1645,190740.0
1646,151080.0
1647,158800.0
1648,149335.0
1649,139140.0
1650,119025.0
1651,128075.0
1652,90763.33333333334
1653,92090.0
1654,158505.0
1655,157490.0
1656,154825.0
1657,157505.0
1658,153825.0
1659,151085.0
1660,146000.0
1661,455401.1
1662,417790.8
1663,396733.7
1664,464485.9
1665,384320.8
1666,276590.0
1667,336195.8
1668,380970.8
1669,280725.8
1670,363640.4
1671,260014.4
1672,442035.1
1673,317900.0
1674,247960.0
1675,178346.6
1676,176535.4
1677,200284.8
1678,402203.7
1679,294749.3
1680,319874.4
1681,251908.2
1682,274206.3
